char,deltaup,deltadown,downtime,uptime,char_index,user
;,0,0.0489580631256,0,0.0489649772644,0,kole
;,0.380787849426,0.093386888504,0.287401914597,0.380794048309,1,kole
9,0.40959405899,0.0891900062561,0.607805013657,0.697000980377,2,kole
2,1.24731302261,0.124545097351,1.73057389259,1.85512590408,3,kole
=,0.441343069077,0.0931301116943,2.07878494263,2.1719250679,4,kole
d,0.461804151535,0.0732510089874,2.46733999252,2.54059696198,5,kole
i,1.00889396667,0.113250017166,3.36298394203,3.47623991966,6,kole
s,0.500316858292,0.0924170017242,3.77088403702,3.86330699921,7,kole
t,0.472805023193,0.0973768234253,4.14631199837,4.2436978817,8,kole
a,0.71869301796,0.0789351463318,4.78607010841,4.86501097679,9,kole
n,0.274441957474,0.0974328517914,4.96307897568,5.06051802635,10,kole
c,1.31722593307,0.0976860523224,6.18261909485,6.28031110764,11,kole
e,0.482353925705,0.108575820923,6.55639600754,6.66497802734,12,kole
=,0.551745891571,0.0850269794464,7.02311611176,7.10814809799,13,kole
c,0.85223698616,0.0783460140228,7.79700803757,7.87535905838,14,kole
o,0.286427021027,0.0821170806885,8.00131607056,8.08344006538,15,kole
m,0.464447021484,0.0750958919525,8.390666008,8.46577310562,16,kole
m,0.466357946396,0.0853018760681,8.77172398567,8.85703110695,17,kole
o,0.868363857269,0.0652089118958,9.57487893105,9.64009404182,18,kole
n,0.289584875107,0.0874569416046,9.77700710297,9.86446905136,19,kole
=,0.66646194458,0.0795969963074,10.3638710976,10.443475008,20,kole
c,0.458104133606,0.0750889778137,10.7468869686,10.8219819069,21,kole
a,0.465101003647,0.0832259654999,11.1287620068,11.2119939327,22,kole
t,0.42338681221,0.0652329921722,11.4869151115,11.5521550179,23,kole
c,0.805425167084,0.0694971084595,12.2228438854,12.2923469543,24,kole
h,0.176620006561,0.0824449062347,12.3170158863,12.3994750977,25,kole
=,1.19609379768,0.0906457901001,13.4224660397,13.5131189823,26,kole
4,0.540343999863,0.0755040645599,13.8873078823,13.962816,27,kole
5,0.473830938339,0.0680129528046,14.2931249142,14.3611440659,28,kole
;,0.881270885468,0.052729845047,15.1216659546,15.1744019985,29,kole
;,0.448614835739,0.0566987991333,15.5135819912,15.5702869892,30,kole
;,0,0.048770904541,0,0.0487771034241,0,kole
;,0.455693006516,0.0906219482422,0.365072011948,0.455698013306,1,kole
9,0.416575908661,0.0750551223755,0.706593036652,0.781652927399,2,kole
2,0.996298074722,0.0923879146576,1.61050391197,1.70289707184,3,kole
=,0.413681983948,0.0991170406342,1.92506694794,2.0241920948,4,kole
d,0.45662689209,0.0735859870911,2.30810809135,2.38170099258,5,kole
i,0.84858417511,0.0961489677429,3.0605430603,3.15669894218,6,kole
s,0.464454889297,0.104980945587,3.42001795769,3.52500510216,7,kole
t,0.427834033966,0.0664601325989,3.78138804436,3.84786009789,8,kole
a,0.679347038269,0.083291053772,4.37744808197,4.46074509621,9,kole
n,0.225379943848,0.0753209590912,4.52750706673,4.60283398628,10,kole
c,1.41771817207,0.0982620716095,5.84696292877,5.94523096085,11,kole
e,0.698025941849,0.0793039798737,6.46568489075,6.5449950695,12,kole
=,0.688339948654,0.0770058631897,7.07701897621,7.15403103828,13,kole
c,0.796484947205,0.0651631355286,7.80834102631,7.87350988388,14,kole
o,0.303450107574,0.0793280601501,8.03246188164,8.11179709435,15,kole
m,0.431833982468,0.0648348331451,8.39946007729,8.46430492401,16,kole
m,0.442696809769,0.0764718055725,8.76568698883,8.84216499329,17,kole
o,0.692257881165,0.0863680839539,9.37157702446,9.45795106888,18,kole
n,0.330874204636,0.103314161301,9.59913706779,9.70245695114,19,kole
=,0.775964021683,0.08229804039,10.2928040028,10.3751070499,20,kole
c,0.440445184708,0.0838921070099,10.6493570805,10.7332539558,21,kole
a,0.446886062622,0.0976741313934,10.9985690117,11.0962479115,22,kole
t,0.444344997406,0.0626800060272,11.3802330494,11.4429190159,23,kole
c,0.827882051468,0.0707678794861,12.137346983,12.2081210613,24,kole
h,0.208250999451,0.0892300605774,12.2563669682,12.3456070423,25,kole
=,1.07792687416,0.0746939182281,13.2596011162,13.3343009949,26,kole
4,0.450170993805,0.0704638957977,13.6393079758,13.7097780704,27,kole
5,0.419354915619,0.0633380413055,13.9953250885,14.0586690903,28,kole
;,0.814747095108,0.0520770549774,14.7579948902,14.8100779057,29,kole
;,0.401566028595,0.0648739337921,15.0946860313,15.1595668793,30,kole
;,0,0.0613758563995,0,0.0613830089569,0,kole
;,0.477206945419,0.113273143768,0.36393404007,0.477211952209,1,kole
9,0.521399021149,0.0750098228455,0.810322999954,0.885339021683,2,kole
2,0.940224885941,0.0936510562897,1.6568980217,1.75055408478,3,kole
=,0.528342008591,0.0903038978577,2.09493398666,2.18524599075,4,kole
d,0.476222991943,0.0748450756073,2.49631309509,2.57116389275,5,kole
i,0.864773035049,0.0976650714874,3.26342105865,3.36109209061,6,kole
s,0.496633052826,0.0863568782806,3.67369604111,3.76006007195,7,kole
t,0.430413961411,0.0652599334717,4.03885006905,4.10411906242,8,kole
a,0.682936906815,0.0764939785004,4.64529395103,4.72179389,9,kole
n,0.225813865662,0.0846099853516,4.78649806976,4.87111401558,10,kole
c,1.12480115891,0.0792951583862,5.83200407028,5.91130495071,11,kole
e,0.447834968567,0.0849409103394,6.19489693642,6.27984499931,12,kole
=,0.599735021591,0.0839500427246,6.71068191528,6.79463911057,13,kole
c,0.751610994339,0.0819139480591,7.38037896156,7.46230006218,14,kole
o,0.283003091812,0.0962781906128,7.56710410118,7.66338896751,15,kole
m,0.438747167587,0.0739870071411,7.93186306953,8.00586104393,16,kole
m,0.482295036316,0.0945470333099,8.31961393356,8.41416597366,17,kole
o,0.664501905441,0.0796339511871,8.90448093414,8.98412108421,18,kole
n,0.317422866821,0.101008892059,9.12089490891,9.22190999985,19,kole
=,0.738938093185,0.0821521282196,9.77768111229,9.85983991623,20,kole
c,0.483415126801,0.082099199295,10.1789960861,10.2611029148,21,kole
a,0.472257137299,0.0735540390015,10.5776998997,10.6512598991,22,kole
t,0.451328992844,0.0612580776215,10.9677710533,11.0290350914,23,kole
c,0.832328081131,0.0723679065704,11.7277319431,11.8001039028,24,kole
h,0.196208953857,0.0907740592957,11.8331649303,11.9239490032,25,kole
=,1.05236697197,0.0926899909973,12.7928450108,12.8855381012,26,kole
4,0.428051948547,0.0736339092255,13.1472620964,13.2209000587,27,kole
5,0.417767047882,0.0637519359589,13.5012750626,13.5650339127,28,kole
;,0.79084777832,0.0479769706726,14.2441470623,14.2921299934,29,kole
;,0.426259994507,0.0493919849396,14.6210141182,14.6704130173,30,kole
;,0,0.0570299625397,0,0.0570380687714,0,kole
;,0.41837310791,0.0876910686493,0.330682992935,0.418380022049,1,kole
9,0.464076042175,0.100059986115,0.694697141647,0.794764995575,2,kole
2,0.912001848221,0.0876657962799,1.51903414726,1.60670900345,3,kole
=,0.454761981964,0.103302001953,1.87049412727,1.97380518913,4,kole
d,0.462152957916,0.0737190246582,2.25892901421,2.33265399933,5,kole
i,0.837070941925,0.0963020324707,2.99969816208,3.09600710869,6,kole
s,0.450111150742,0.076807975769,3.37300109863,3.44981503487,7,kole
t,0.395457983017,0.0565800666809,3.71187806129,3.76846814156,8,kole
a,0.656234025955,0.0877950191498,4.28031802177,4.36812019348,9,kole
n,0.275450944901,0.0824840068817,4.47328519821,4.55577611923,10,kole
c,1.19903302193,0.0987958908081,5.57352209091,5.6723241806,11,kole
e,0.430516004562,0.0954082012177,5.90863013268,6.00404405594,12,kole
=,0.519849061966,0.110409975052,6.31806921959,6.42848610878,13,kole
c,0.688076972961,0.0637829303741,6.94236207008,7.00615215302,14,kole
o,0.26599407196,0.0779361724854,7.13042020798,7.20836305618,15,kole
m,0.418159008026,0.0806949138641,7.46788215637,7.54858899117,16,kole
m,0.481824874878,0.086348772049,7.86336112022,7.94971704483,17,kole
o,0.830666780472,0.0948297977448,8.59919714928,8.69403409958,18,kole
n,0.345701932907,0.106153011322,8.83874702454,8.94490599632,19,kole
=,0.703775882721,0.0948638916016,9.44765901566,9.54252910614,20,kole
c,0.620743989944,0.0732190608978,9.99518418312,10.0684092045,21,kole
a,0.469223976135,0.0779039859772,10.3865041733,10.4644141197,22,kole
t,0.465172052383,0.0557899475098,10.7958860397,10.8516831398,23,kole
c,0.917316913605,0.0569939613342,11.656208992,11.7132101059,24,kole
h,0.198671102524,0.0963470935822,11.7585291862,11.8548910618,25,kole
